City,Crop,Today's Price,Yesterday's Price,Change,Direction
Lahore,Ginger(China),44600,44000,+600,
Lahore,Brinjal,8300,9250,-950,
Lahore,Bitter Gourd (کریلا),17550,18550,-1000,
Lahore,Tinda Desi,19500,20500,-1000,
Lahore,Cauliflower,14350,13850,+500,
Lahore,Cabbage,12100,11600,+500,
Lahore,Ginger (Thai),49250,48250,+1000,
Lahore,Watermelon,8900,8400,+500,
Lahore,Lemon (China),11250,11750,-500,
Lahore,Peach,26100,26600,-500,
Lahore,Grapes Sundekhani,32500,33600,-1100,
Lahore,Pear,31750,33000,-1250,
Lahore,Bottle Gourd (کدو),13850,14850,-1000,
Faisalabad,Ginger(China),42500,41500,+1000,
Faisalabad,Brinjal,8500,8550,-50,
Faisalabad,Bitter Gourd (کریلا),17500,18500,-1000,
Faisalabad,Radish,2750,3250,-500,
Faisalabad,Apple Kala Kullu (Pahari),22500,22550,-50,
Faisalabad,Banana(DOZEN),95,100,-5,
Faisalabad,Pomegranate(Kandhari),35500,21000,+14500,
Faisalabad,Pomegranate(Badana),30500,34000,-3500,
Faisalabad,Cabbage,11000,9500,+1500,
Faisalabad,Ginger (Thai),48500,47500,+1000,
Faisalabad,Cucumber (Kheera),4950,4750,+200,
Faisalabad,Apple (Gatcha),23600,23750,-150,
Faisalabad,Capsicum (شملہ مرچ),20500,19500,+1000,
Faisalabad,Peach Special,22500,13500,+9000,
Faisalabad,Sweet Musk Melon,15000,16500,-1500,
Faisalabad,Bottle Gourd (کدو),12000,11500,+500,
Faisalabad,Cocoyam(اروی),7350,7250,+100,
Faisalabad,Persimmon(جاپانی پھل),14500,12500,+2000,
Faisalabad,Coriander (دھنیا),16500,19500,-3000,
Gujranwala,Apple (Gatcha),29750,27500,+2250,
Okara,Maize,7135,7045,+90,
Okara,Onion,7250,6750,+500,
Okara,Banana(DOZEN),135,125,+10,
Okara,Ginger (Thai),51750,49750,+2000,
Okara,Cucumber (Kheera),4250,3750,+500,
Okara,Bottle Gourd (کدو),10750,11750,-1000,
Sargodha,Ginger(China),41500,40500,+1000,
