timestamp,coin,price
2025-10-04 03-17-55,bitcoin,122515
2025-10-04 03-17-55,ethereum,4528.99
2025-10-04 03-17-55,ripple,3.05
2025-10-04 03-17-55,tether,1.001
2025-10-04 03-17-55,binancecoin,1182.27
2025-10-04 03-17-55,solana,232.98
2025-10-04 03-17-55,usd-coin,0.999803
2025-10-04 03-17-55,dogecoin,0.259294
2025-10-04 03-17-55,staked-ether,4529.17
2025-10-04 03-17-55,tron,0.341916
2025-10-04 13-47-43,bitcoin,122262
2025-10-04 13-47-43,ethereum,4489.01
2025-10-04 13-47-43,ripple,3.0
2025-10-04 13-47-43,tether,1.0
2025-10-04 13-47-43,binancecoin,1157.9
2025-10-04 13-47-43,solana,228.53
2025-10-04 13-47-43,usd-coin,0.999744
2025-10-04 13-47-43,staked-ether,4486.86
2025-10-04 13-47-43,dogecoin,0.252535
2025-10-04 13-47-43,tron,0.340348
